event_id,ip,http_method,requested_url,http_version,response_status,timestamp
0,127.0.0.1,GET,http://localhost:8088/,HTTP/1.1,200,2024-11-30 12:13:54
1,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,200,2024-11-30 12:13:54
2,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,200,2024-11-30 12:13:54
3,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,200,2024-11-30 12:13:54
4,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-11-30 12:14:13
5,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-11-30 12:14:13
6,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-11-30 12:14:13
7,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-11-30 12:14:13
8,127.0.0.1,GET,http://localhost:8088/,HTTP/1.1,200,2024-12-02 11:34:10
9,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,200,2024-12-02 11:34:10
10,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,200,2024-12-02 11:34:10
11,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,200,2024-12-02 11:34:10
12,127.0.0.1,GET,http://localhost:8088/apple-touch-icon-precomposed.png,HTTP/1.1,404,2024-12-02 11:34:10
13,127.0.0.1,GET,http://localhost:8088/apple-touch-icon.png,HTTP/1.1,404,2024-12-02 11:34:10
14,127.0.0.1,GET,http://localhost:8088/favicon.ico,HTTP/1.1,404,2024-12-02 11:34:10
15,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-02 11:37:20
16,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-02 11:37:20
17,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-02 11:37:20
18,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-02 11:37:20
19,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-02 11:39:58
20,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-02 11:39:59
21,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-02 11:39:59
22,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-02 11:39:59
23,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-02 11:41:12
24,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-02 11:41:12
25,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-02 11:41:12
26,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-02 11:41:12
27,127.0.0.1,POST,http://localhost:8088/search,HTTP/1.1,200,2024-12-02 11:46:51
28,127.0.0.1,GET,http://localhost:8088/static/styles/custom.css,HTTP/1.1,304,2024-12-02 11:46:51
29,127.0.0.1,GET,http://localhost:8088/static/logo.png,HTTP/1.1,304,2024-12-02 11:46:51
30,127.0.0.1,GET,http://localhost:8088/static/styles/bootstrap.min.css,HTTP/1.1,304,2024-12-02 11:46:51
